"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2020-06-05,"Age","20-29 years",2330,0.153896961690885,11,0.016566265060241
2020-06-05,"Age","30-39 years",2777,0.183421400264201,13,0.019578313253012
2020-06-05,"Age","40-49 years",2830,0.186922060766182,26,0.0391566265060241
2020-06-05,"Age","50-59 years",2793,0.18447820343461,72,0.108433734939759
2020-06-05,"Age","60-64 years",1179,0.0778731836195509,60,0.0903614457831325
2020-06-05,"Age","65-69 years",860,0.0568031704095112,74,0.11144578313253
2020-06-05,"Age","70-74 years",558,0.0368560105680317,69,0.103915662650602
2020-06-05,"Age","75-79 years",373,0.0246367239101717,70,0.105421686746988
2020-06-05,"Age","80+ years",653,0.0431307793923382,265,0.399096385542169
2020-06-05,"Age","<1 year",38,0.00250990752972259,0,0
2020-06-05,"Age","Unknown",123,0.00812417437252312,2,0.00301204819277108
2020-06-05,"Gender","Female",6777,0.447622192866579,272,0.409638554216867
2020-06-05,"Gender","Male",8079,0.533619550858653,364,0.548192771084337
2020-06-05,"Gender","Unknown",284,0.0187582562747688,28,0.0421686746987952
2020-06-05,"Race","Asian",503,0.033223249669749,13,0.019578313253012
2020-06-05,"Race","Black",2407,0.158982826948481,85,0.128012048192771
2020-06-05,"Race","Hispanic",6023,0.39782034346103,171,0.257530120481928
2020-06-05,"Race","Other",97,0.00640686922060766,5,0.00753012048192771
2020-06-05,"Race","Unknown",1949,0.128731836195509,121,0.182228915662651
2020-06-05,"Race","White",4161,0.274834874504624,269,0.405120481927711
2020-06-06,"Age","1-9 years",174,0.0114700065919578,0,0
2020-06-06,"Age","10-19 years",452,0.0297956493078444,2,0.00301204819277108
2020-06-06,"Age","20-29 years",2333,0.153790375741595,11,0.016566265060241
2020-06-06,"Age","30-39 years",2784,0.183520105471325,13,0.019578313253012
2020-06-06,"Age","40-49 years",2835,0.186882003955175,26,0.0391566265060241
2020-06-06,"Age","50-59 years",2801,0.184640738299275,72,0.108433734939759
2020-06-06,"Age","60-64 years",1181,0.0778510217534608,60,0.0903614457831325
2020-06-06,"Age","65-69 years",861,0.0567567567567568,74,0.11144578313253
2020-06-06,"Age","70-74 years",559,0.0368490441661173,69,0.103915662650602
2020-06-06,"Age","75-79 years",374,0.0246539222148978,70,0.105421686746988
2020-06-06,"Age","80+ years",655,0.0431773236651285,265,0.399096385542169
2020-06-06,"Age","<1 year",38,0.0025049439683586,0,0
2020-06-06,"Age","Unknown",123,0.00810810810810811,2,0.00301204819277108
2020-06-06,"Gender","Female",6778,0.446802900461437,272,0.409638554216867
2020-06-06,"Gender","Male",8108,0.534475939353988,364,0.548192771084337
2020-06-06,"Gender","Unknown",284,0.0187211601845748,28,0.0421686746987952
2020-06-06,"Race","Asian",503,0.0331575477916941,13,0.019578313253012
2020-06-06,"Race","Black",2413,0.159063941990771,85,0.128012048192771
2020-06-06,"Race","Hispanic",6034,0.3977587343441,171,0.257530120481928
2020-06-06,"Race","Other",97,0.00639419907712591,5,0.00753012048192771
2020-06-06,"Race","Unknown",1949,0.12847725774555,121,0.182228915662651
2020-06-06,"Race","White",4174,0.275148319050758,269,0.405120481927711
2020-06-08,"Age","1-9 years",174,0.0114700065919578,0,0
2020-06-08,"Age","10-19 years",452,0.0297956493078444,2,0.00301204819277108
2020-06-08,"Age","20-29 years",2333,0.153790375741595,11,0.016566265060241
2020-06-08,"Age","30-39 years",2784,0.183520105471325,13,0.019578313253012
2020-06-08,"Age","40-49 years",2835,0.186882003955175,26,0.0391566265060241
2020-06-08,"Age","50-59 years",2801,0.184640738299275,72,0.108433734939759
2020-06-08,"Age","60-64 years",1181,0.0778510217534608,60,0.0903614457831325
2020-06-08,"Age","65-69 years",861,0.0567567567567568,74,0.11144578313253
2020-06-08,"Age","70-74 years",559,0.0368490441661173,69,0.103915662650602
2020-06-08,"Age","75-79 years",374,0.0246539222148978,70,0.105421686746988
2020-06-08,"Age","80+ years",655,0.0431773236651285,265,0.399096385542169
