Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2022-11-07,73301,342,192,155
2022-11-07,73344,,,
2022-11-07,73960,30,16,14
2022-11-07,75001,23861,13407,11274
2022-11-07,75002,98681,52879,47203
2022-11-07,75006,66859,36414,31571
2022-11-07,75007,80131,42915,38383
2022-11-07,75009,24144,13216,11573
2022-11-07,75010,50605,27190,24258
2022-11-07,75011,653,354,308
2022-11-07,75013,79040,42561,37424
2022-11-07,75014,366,206,166
2022-11-07,75015,242,131,115
2022-11-07,75016,414,226,196
2022-11-07,75017,186,104,83
2022-11-07,75019,76199,41161,36308
2022-11-07,75020,23337,13125,11269
2022-11-07,75021,7474,4231,3604
2022-11-07,75022,39345,20972,19026
2022-11-07,75023,68268,36673,32501
2022-11-07,75024,76143,41232,36028
2022-11-07,75025,88725,47489,42211
2022-11-07,75026,459,247,222
2022-11-07,75027,270,148,130
2022-11-07,75028,71342,38168,34284
2022-11-07,75029,368,200,177
2022-11-07,75030,354,188,170
2022-11-07,75032,43403,23704,20702
2022-11-07,75033,66003,35655,31506
2022-11-07,75034,74620,40792,35299
2022-11-07,75035,133206,71542,63274
2022-11-07,75036,52391,28079,24971
2022-11-07,75038,45525,25003,21446
2022-11-07,75039,40036,22131,18860
2022-11-07,75040,86299,46735,40805
2022-11-07,75041,38522,21168,17956
2022-11-07,75042,51428,28133,24046
2022-11-07,75043,78371,42462,37039
2022-11-07,75044,65251,35057,31132
2022-11-07,75045,333,178,156
2022-11-07,75046,166,92,77
2022-11-07,75047,168,93,77
2022-11-07,75048,38831,20759,18648
2022-11-07,75049,354,191,169
2022-11-07,75050,47608,26249,22277
2022-11-07,75051,45089,24891,20974
2022-11-07,75052,124137,67145,58802
2022-11-07,75053,436,247,195
2022-11-07,75054,22896,12267,10915
2022-11-07,75056,95221,51289,45602
2022-11-07,75057,17896,9842,8358
2022-11-07,75058,3600,1998,1756
2022-11-07,75059,17,10,8
2022-11-07,75060,61802,33600,29144
2022-11-07,75061,67597,37032,31647
2022-11-07,75062,64744,35594,30466
2022-11-07,75063,79965,43663,37881
2022-11-07,75065,15106,8166,7255
2022-11-07,75067,88116,47994,41672
2022-11-07,75068,83727,45072,40015
2022-11-07,75069,48093,26151,22895
2022-11-07,75070,83491,45129,39616
2022-11-07,75071,86716,46823,41445
2022-11-07,75072,74253,39911,35661
2022-11-07,75074,72567,39440,34228
2022-11-07,75075,53757,29070,25440
2022-11-07,75076,8743,4796,4235
2022-11-07,75077,51353,27409,24858
2022-11-07,75078,48956,26534,23424
2022-11-07,75080,66320,36058,31334
2022-11-07,75081,54339,29427,25821
2022-11-07,75082,42457,22846,20260
2022-11-07,75083,649,354,305
2022-11-07,75085,263,140,125
2022-11-07,75086,531,286,249
2022-11-07,75087,49734,27055,23840
2022-11-07,75088,35161,19003,16851
2022-11-07,75089,46627,25171,22326
2022-11-07,75090,22637,12817,10870
2022-11-07,75091,814,448,397
2022-11-07,75092,26698,14903,13018
2022-11-07,75093,79191,42611,37687
2022-11-07,75094,38038,20213,18275
2022-11-07,75097,196,110,91
2022-11-07,75098,84600,45535,40355
2022-11-07,75099,20,13,8
2022-11-07,75101,565,313,272
2022-11-07,75102,1229,676,588
2022-11-07,75103,11257,6151,5527
2022-11-07,75104,61526,33185,29131
2022-11-07,75105,301,162,145
2022-11-07,75106,813,429,392
2022-11-07,75109,4487,2408,2166
2022-11-07,75110,29760,16116,14100
2022-11-07,75114,7529,4106,3556
2022-11-07,75115,69092,37269,32775
2022-11-07,75116,23706,12920,11074
2022-11-07,75117,2936,1596,1444
2022-11-07,75118,144,80,72
2022-11-07,75119,30046,16448,14261
2022-11-07,75120,665,360,321
2022-11-07,75121,213,118,105
2022-11-07,75123,665,353,322
2022-11-07,75124,3805,2114,1817
2022-11-07,75125,7891,4301,3691
2022-11-07,75126,77325,42039,36720
2022-11-07,75127,1195,661,578
2022-11-07,75132,196,105,93
2022-11-07,75134,23477,12645,11065
2022-11-07,75135,7509,4098,3646
2022-11-07,75137,24355,13150,11544
2022-11-07,75138,505,263,246
2022-11-07,75140,5551,3043,2693
2022-11-07,75141,4639,2537,2166
2022-11-07,75142,21208,11659,10039
2022-11-07,75143,12760,7041,6160
2022-11-07,75144,3387,1832,1619
2022-11-07,75146,26867,14573,12648
2022-11-07,75147,6347,3521,3038
2022-11-07,75148,4929,2691,2390
2022-11-07,75149,65854,36174,30705
2022-11-07,75150,73422,40314,34201
2022-11-07,75151,556,296,266
2022-11-07,75152,4990,2723,2386
2022-11-07,75153,638,346,303
2022-11-07,75154,52796,28403,25188
2022-11-07,75155,3299,1805,1563
2022-11-07,75156,12894,7073,6124
2022-11-07,75157,211,116,101
2022-11-07,75158,4491,2445,2159
2022-11-07,75159,21934,12002,10293
2022-11-07,75160,26629,14498,12649
2022-11-07,75161,7082,3857,3388
2022-11-07,75163,2045,1123,996
2022-11-07,75164,293,163,142
2022-11-07,75165,52502,28408,25294
2022-11-07,75166,6396,3468,3073
2022-11-07,75167,13429,7258,6504
2022-11-07,75168,657,344,322
2022-11-07,75169,13402,7371,6606
2022-11-07,75172,4966,2722,2329
2022-11-07,75173,7135,3922,3393
2022-11-07,75180,27903,15408,12915
2022-11-07,75181,33698,18275,15910
2022-11-07,75182,11476,6136,5508
2022-11-07,75185,361,194,173
2022-11-07,75187,151,81,73
2022-11-07,75189,39080,21462,18554
2022-11-07,75201,32680,19516,15618
2022-11-07,75202,6719,4214,3144
2022-11-07,75203,16874,9419,7770
2022-11-07,75204,47604,26477,22595
2022-11-07,75205,35369,19304,16839
2022-11-07,75206,59989,32784,28640
2022-11-07,75207,7752,4797,3710
2022-11-07,75208,44056,24017,20815
2022-11-07,75209,22327,12105,10639
2022-11-07,75210,8084,4555,3712
2022-11-07,75211,90480,49577,42174
2022-11-07,75212,32516,17815,15281
2022-11-07,75214,54233,29202,25966
2022-11-07,75215,18573,10332,8636
2022-11-07,75216,58407,32236,27115
2022-11-07,75217,95909,52812,44402
2022-11-07,75218,34840,18678,16670
2022-11-07,75219,43474,23868,20694
2022-11-07,75220,48639,26995,22466
2022-11-07,75221,159,98,74
2022-11-07,75222,458,249,211
2022-11-07,75223,18657,10178,8756
2022-11-07,75224,39238,21397,18405
2022-11-07,75225,37735,20517,18108
2022-11-07,75226,6415,3649,3049
2022-11-07,75227,68120,37373,31672
2022-11-07,75228,81726,44860,38177
2022-11-07,75229,48828,26601,23132
2022-11-07,75230,44638,24212,21187
2022-11-07,75231,50121,27949,23189
2022-11-07,75232,36496,19843,17061
2022-11-07,75233,17577,9511,8269
2022-11-07,75234,52246,28768,24670
2022-11-07,75235,31092,17315,14804
2022-11-07,75236,19438,10612,9072
2022-11-07,75237,15420,8499,7097
2022-11-07,75238,41560,22453,19690
2022-11-07,75240,34841,19943,16009
2022-11-07,75241,34581,18960,16223
2022-11-07,75242,87,52,37
2022-11-07,75243,72055,39715,33571
2022-11-07,75244,21196,11774,10072
2022-11-07,75246,3670,2059,1715
2022-11-07,75247,3592,2318,1679
2022-11-07,75248,56660,30584,26988
2022-11-07,75249,18437,9968,8693
2022-11-07,75250,87,50,39
2022-11-07,75251,5663,3187,2666
2022-11-07,75252,42803,23233,20183
2022-11-07,75253,23923,13217,11045
2022-11-07,75254,32558,18052,15267
2022-11-07,75260,37,23,16
2022-11-07,75261,4907,3809,1430
2022-11-07,75262,24,16,9
2022-11-07,75263,10,,
2022-11-07,75264,,,
2022-11-07,75265,47,29,18
2022-11-07,75266,47,27,20
2022-11-07,75267,16,9,7
2022-11-07,75270,37,21,17
2022-11-07,75275,1004,610,411
2022-11-07,75277,44,27,19
2022-11-07,75283,25,16,9
2022-11-07,75284,47,24,23
2022-11-07,75285,28,16,12
2022-11-07,75287,69130,38039,32231
